	lat	lon
0	37.42159529	-122.24640598
1	37.421667219999996	-122.24632166
2	37.42173915	-122.24623734000001
3	37.42181108	-122.24615302000001
4	37.42188301	-122.24606870000001
5	37.42195494	-122.24598438
6	37.42202687	-122.24590006
7	37.4220988	-122.24581574
8	37.42217073	-122.24573142
9	37.42224266	-122.2456471
10	37.42231459	-122.24556278
11	37.42238652	-122.24547846
12	37.42245845	-122.24539414
13	37.42253038	-122.24530982
14	37.42260231	-122.2452255
15	37.42267424	-122.24514117999999
16	37.42274617	-122.24505685999999
17	37.4228181	-122.24497253999999
18	37.422890030000005	-122.24488821999999
19	37.42296196	-122.2448039
