lat	lon	alt
37.42159529	-122.24640598	99.3099823
37.42159529	-122.24632166	97.889976501
37.42159529	-122.24623734	99.148422241
37.42159529	-122.24615302	100.968421936
37.42159529	-122.2460687	101.828422546
37.42159529	-122.24598438	102.604309082
37.42159529	-122.24590006	103.224311829
37.42159529	-122.24581574	103.564308167
37.42159529	-122.24573142	103.855445862
37.42159529	-122.2456471	104.215446472
37.42159529	-122.24556278	105.035446167
37.42159529	-122.24547846	105.651535034
37.42159529	-122.24539414	106.451538086
37.42159529	-122.24530982	107.171539307
37.42159529	-122.2452255	107.954231262
37.42159529	-122.24514118	108.554229736
37.42159529	-122.24505686	109.734230042
37.42159529	-122.24497254	110.881782532
37.42159529	-122.24488822	111.741783142
37.42159529	-122.2448039	112.281784058
37.42166722	-122.24640598	98.509979248
37.42166722	-122.24632166	98.66998291
37.42166722	-122.24623734	100.228416443
37.42166722	-122.24615302	101.788421631
37.42166722	-122.2460687	102.508422852
37.42166722	-122.24598438	103.324310303
37.42166722	-122.24590006	104.124305725
37.42166722	-122.24581574	104.58430481
37.42166722	-122.24573142	104.935447693
37.42166722	-122.2456471	105.295448303
37.42166722	-122.24556278	105.995445251
37.42166722	-122.24547846	106.511535645
37.42166722	-122.24539414	107.05153656
37.42166722	-122.24530982	107.591537476
37.42166722	-122.2452255	108.174232483
37.42166722	-122.24514118	108.634231567
37.42166722	-122.24505686	109.614234924
37.42166722	-122.24497254	110.72177887
37.42166722	-122.24488822	111.621780396
37.42166722	-122.2448039	112.161781311
37.42173915	-122.24640598	98.348876953
37.42173915	-122.24632166	100.368881226
37.42173915	-122.24623734	101.88584137
37.42173915	-122.24615302	102.965843201
37.42173915	-122.2460687	103.485839844
37.42173915	-122.24598438	104.199676514
37.42173915	-122.24590006	105.259681702
37.42173915	-122.24581574	105.859680176
37.42173915	-122.24573142	106.102600098
37.42173915	-122.2456471	106.342597961
37.42173915	-122.24556278	107.322601318
37.42173915	-122.24547846	107.841636658
37.42173915	-122.24539414	108.341636658
37.42173915	-122.24530982	108.761634827
37.42173915	-122.2452255	109.027275085
37.42173915	-122.24514118	109.227279663
37.42173915	-122.24505686	109.727279663
37.42173915	-122.24497254	110.405685425
37.42173915	-122.24488822	111.22568512
37.42173915	-122.2448039	111.805686951
37.42181108	-122.24640598	99.68888092
37.42181108	-122.24632166	101.888877869
37.42181108	-122.24623734	102.965843201
37.42181108	-122.24615302	103.725845337
37.42181108	-122.2460687	104.305839539
37.42181108	-122.24598438	105.159675598
37.42181108	-122.24590006	106.059677124
37.42181108	-122.24581574	106.559677124
37.42181108	-122.24573142	106.722602844
37.42181108	-122.2456471	107.002601624
37.42181108	-122.24556278	108.182601929
37.42181108	-122.24547846	108.781639099
37.42181108	-122.24539414	109.281639099
37.42181108	-122.24530982	109.481636047
37.42181108	-122.2452255	109.627281189
37.42181108	-122.24514118	109.807281494
37.42181108	-122.24505686	110.207275391
37.42181108	-122.24497254	110.58568573
37.42181108	-122.24488822	111.08568573
37.42181108	-122.2448039	111.565681458
37.42188301	-122.24640598	101.268882751
37.42188301	-122.24632166	103.288879395
37.42188301	-122.24623734	104.005844116
37.42188301	-122.24615302	104.74584198
37.42188301	-122.2460687	105.405845642
37.42188301	-122.24598438	106.479675293
37.42188301	-122.24590006	107.199676514
37.42188301	-122.24581574	107.379676819
37.42188301	-122.24573142	107.662597656
37.42188301	-122.2456471	108.162597656
37.42188301	-122.24556278	109.242599487
37.42188301	-122.24547846	109.781639099
37.42188301	-122.24539414	110.121635437
37.42188301	-122.24530982	110.101638794
37.42188301	-122.2452255	110.207275391
37.42188301	-122.24514118	110.387275696
37.42188301	-122.24505686	110.707275391
37.42188301	-122.24497254	110.985679626
37.42188301	-122.24488822	111.265686035
37.42188301	-122.2448039	111.545684814
37.42195494	-122.24640598	102.964950562
37.42195494	-122.24632166	104.644950867
37.42195494	-122.24623734	105.54990387
37.42195494	-122.24615302	106.929901123
37.42195494	-122.2460687	107.689903259
37.42195494	-122.24598438	108.506942749
37.42195494	-122.24590006	109.126937866
37.42195494	-122.24581574	108.886940002
37.42195494	-122.24573142	109.684440613
37.42195494	-122.2456471	110.584442139
37.42195494	-122.24556278	111.104438782
37.42195494	-122.24547846	111.234657288
37.42195494	-122.24539414	111.25466156
37.42195494	-122.24530982	111.234657288
37.42195494	-122.2452255	111.213882446
37.42195494	-122.24514118	111.233886719
37.42195494	-122.24505686	111.393882751
37.42195494	-122.24497254	111.706596375
37.42195494	-122.24488822	111.966598511
37.42195494	-122.2448039	112.066596985
37.42202687	-122.24640598	103.784950256
37.42202687	-122.24632166	105.52495575
37.42202687	-122.24623734	106.76990509
37.42202687	-122.24615302	108.209899902
37.42202687	-122.2460687	108.829902649
37.42202687	-122.24598438	109.22693634
37.42202687	-122.24590006	109.526939392
37.42202687	-122.24581574	109.686943054
37.42202687	-122.24573142	110.944442749
